,District,Latitude,longitude,ACTIVE CASES,CONFIRMED CASES,DECEASED CASES,RECOVERED CASES
314,East Jaintia Hills,25.25157605,92.48405006942016,11,411,0,397
315,East Khasi Hills,25.405680850000003,91.83546771298455,956,5791,73,4762
316,North Garo Hills,25.8619841,90.70177048839348,19,86,0,67
318,South Garo Hills,25.347969,90.56577725964563,27,96,0,69
319,South West Garo Hills,25.448052699999998,89.9987852968616,4,94,2,88
320,South West Khasi Hills,25.330722100000003,91.32645013786319,3,47,0,44
321,West Garo Hills,25.60780175,90.20380106122235,165,1113,2,946
322,West Jaintia Hills,25.4425965,92.29882747091773,84,177,1,92
323,West Khasi Hills,25.58173695,91.28910306371017,51,130,1,78
324,Bishnupur,24.562463649999998,93.8012483746545,551,614,5,58
325,Chandel,24.3197442,94.02109882254321,228,238,6,4
326,Churachandpur,24.378704,93.69700149533944,906,979,15,58
327,Imphal East,24.85154025,94.00947957721581,3081,3134,37,16
328,Imphal West,24.757326,93.85847858025147,4836,4923,35,52
329,Jiribam,24.6778472,93.1549000879473,202,204,0,2
330,Kakching,24.38904015,93.88013239529906,444,473,2,27
331,Kamjong,24.8409769,94.52830740954334,192,209,0,17
332,Kangpokpi,25.1524326,93.9714932,460,486,7,19
333,Noney,24.8625867,93.6237454,256,275,1,18
334,Pherzawl,24.2595653,93.1906004,18,33,0,15
335,Senapati,25.380439600000003,94.0569854178655,363,384,0,21
336,Tamenglong,24.935401300000002,93.56791112289724,750,785,3,32
337,Tengnoupal,24.31392145,94.23756082375633,174,188,1,13
338,Thoubal,24.624587,94.04247928402684,1550,1598,25,23
339,Ukhrul,25.109266849999997,94.38239281654197,391,409,0,18
340,Agar Malwa,23.9342963,76.14523314122312,23,464,9,432
341,Alirajpur,22.285939550000002,74.35468608752092,7,1051,13,1031
342,Anuppur,23.03525965,81.3884438474638,126,1577,14,1437
343,Ashoknagar,24.576189,77.7302895,45,580,16,519
344,Balaghat,21.966667,80.333333,218,2046,10,1818
345,Barwani,21.75194325,74.89175175338488,98,2104,21,1985
346,Betul,21.8796162,77.87568124563079,312,2490,56,2122
347,Bhind,26.5,78.75,20,1106,7,1079
348,Bhopal,23.2584857,77.401989,1713,23870,469,21688
349,Burhanpur,26.2697215,82.99442536730413,7,780,26,747
350,Chhatarpur,24.75,79.75,53,1509,29,1427
351,Chhindwara,22.139831049999998,78.80964495467987,67,2213,36,2110
352,Damoh,23.75,79.583333,133,2054,58,1863
353,Datia,25.75,78.5,68,1385,19,1298
354,Dewas,23.0,76.166667,46,1856,23,1787
355,Dhar,22.5,75.25,187,2743,46,2510
356,Dindori,20.25527235,73.80730056332233,68,693,1,624
357,Guna,24.5,77.5,51,898,15,832
358,Gwalior,26.2037247,78.1573628,324,12129,158,11647
359,Harda,22.3388828,77.0929933,121,1367,24,1222
